Sensors,SUNANGLE,Status,Latitude,Longitude,Temperature 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,LightHouse,Time ,Date,Timestamp,Year,hours
Main optic,-5.540027906,on,59.998,-1.159,11.43803827,9.293210338,101908.3295,0,0,0,0,Mousa,23:01:16,30-06-2023,00:00:00,2023,23.02111111
Light,-2.74405091,on,59.122,-5.816,10.40853253,7.5119626,102158.7288,8.56E-07,0,0,0,North_Rona,22:28:42,30-06-2023,00:00:00,2023,22.47833333
Optic Main,-2.809404935,on,59.854,-1.276,11.39346355,9.323245901,101958.4708,0,0,0,0,Sumburgh_Head,22:23:42,30-06-2023,00:00:00,2023,22.395
Optic Main,-1.964770722,on,59.39,-2.382,10.89045446,9.359647481,102059.8302,0,0,0,0,North_Ronaldsay,22:02:36,30-06-2023,00:00:00,2023,22.04333333
Main Optic,-1.404697878,on,60.741,-0.795,11.61869261,9.279538382,101979.907,0,0,0,0,Balta_Sound,22:02:12,30-06-2023,00:00:00,2023,22.03666667
Light,-1.628057977,on,59.086,-4.407,10.75734352,7.955447518,102179.9063,0,0,0,0,Sule_Skerry,21:59:17,30-06-2023,00:00:00,2023,21.98805556
Light,-1.425146291,on,58.85,-3.014,10.71104563,9.058125551,101912.702,0,0,0,0,Flotta_Grinds_Buoy,21:46:43,30-06-2023,00:00:00,2023,21.77861111
Main Optic,-0.708947115,on,58.672,-3.377,9.900759451,8.371333717,101686.0586,0,0,0,0,Dunnet_Head,21:33:06,30-06-2023,00:00:00,2023,21.55166667
ML1 Status,-2.452918579,on,49.868,-6.435,15.90714831,14.06219491,101988.5116,0,0,0,0,BishopRock,21:03:05,30-06-2023,00:00:00,2023,21.05138889
ML1 Status,-2.379672911,on,50.535,-5.034,14.77272609,13.23125564,101435.7081,0,0,0,0,Trevose,21:00:43,30-06-2023,00:00:00,2023,21.01194444
ML1 Status,-2.105504849,on,49.961,-5.203,15.42061213,13.63025196,101745.8756,0,0,0,0,Lizard,20:54:40,30-06-2023,00:00:00,2023,20.91111111
ML1 Status,-1.613347031,on,49.935,-5.801,15.2597178,13.69943414,101919.0228,0,0,0,0,WolfRock,20:50:56,30-06-2023,00:00:00,2023,20.84888889
ML1 Status,-1.346006276,on,51.2,-4.202,15.11169082,13.30230152,101438.0416,0,0,0,0,BullPointPost,20:48:28,30-06-2023,00:00:00,2023,20.80777778
Main Status,1.350853363,on,50.235,-5.401,15.21988962,13.4347462,101578.2205,0,2.37107,2.37107,0,Godrevy,20:21:00,30-06-2023,00:00:00,2023,20.35
Main Optic,20.58643775,off,58.672,-3.377,10.90078182,8.926368554,101633.0465,1.10E-05,48.01490489,48.01490489,0,Dunnet_Head,06:24:26,30-06-2023,00:00:00,2023,6.407222222
ML1 Status,14.11490694,off,50.535,-5.034,14.78993788,13.49919929,101330.6174,0,370.9360882,126.690211,520.4502118,Trevose,05:59:58,30-06-2023,00:00:00,2023,5.999444444
Main Status,6.863567022,off,50.235,-5.401,13.67613567,12.43727289,101473.7078,0,98.64006,66.30868,133.90336,Godrevy,05:12:00,30-06-2023,00:00:00,2023,5.2
ML1 Status,5.502421312,on,50.535,-5.034,14.08133859,13.29664978,101300.8791,0,213.9754324,95.783808,363.032316,Trevose,04:59:28,30-06-2023,00:00:00,2023,4.991111111
ML1 Status,3.89904465,off,50.535,-5.034,13.87846423,13.13059994,101302.1034,0,187.7591371,87.933291,321.272082,Trevose,04:47:16,30-06-2023,00:00:00,2023,4.787777778
Light,7.38528718,off,59.086,-4.407,10.66173952,7.741646963,102123.2733,9.02E-06,32.09744014,32.09744014,0,Sule_Skerry,04:35:17,30-06-2023,00:00:00,2023,4.588055556
ML1 Status,0.69876245,off,51.2,-4.202,13.56055885,13.10157273,101295.9581,9.80E-08,33.31170528,24.92271361,42.89269611,BullPointPost,04:14:05,30-06-2023,00:00:00,2023,4.234722222
ML1 Status,-0.661872171,off,49.935,-5.801,14.58471906,12.63099937,101756.7225,0,23.84106678,16.96045267,37.38759561,WolfRock,04:13:31,30-06-2023,00:00:00,2023,4.225277778
ML1 Status,-0.260477908,on,50.535,-5.034,12.89946552,12.2178665,101300.3839,0,24.91577833,19.229575,32.700215,Trevose,04:11:30,30-06-2023,00:00:00,2023,4.191666667
ML1 Status,-1.652962982,off,49.868,-6.435,14.99695156,12.83399598,101844.8825,0,11.12319656,9.471214611,8.955113722,BishopRock,04:05:02,30-06-2023,00:00:00,2023,4.083888889
